,gray,violet,blue,green,yellow,orange,red,brown,target
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04,
289,18269,0,57306,0,287,56305,0,94969,1
290,34526,0,73159,0,0,33524,0,85927,0
291,47023,0,56366,0,2110,46860,0,74777,1
292,11665,0,77177,0,469,57141,0,80684,1
293,14768,0,79648,0,0,43670,0,89050,0
294,31791,0,66452,0,0,35554,0,93339,1
295,26403,0,72796,0,0,39168,0,88769,0
296,15371,0,69355,0,0,55418,0,86992,1
297,54521,0,50136,0,2635,47126,0,72718,1
298,9183,0,61317,0,0,58141,0,98495,1
299,17730,0,63880,0,0,47406,0,98120,1
300,8215,0,68030,0,0,63552,0,87339,1
301,59050,0,38804,0,8009,40541,0,80732,1
302,19001,0,43920,0,0,53792,0,110423,1
303,26080,0,69321,0,0,38098,0,93637,1
304,8321,0,61624,0,0,37219,0,119972,1
305,10525,0,59515,0,0,54670,0,102426,1
306,47099,0,74736,0,0,27336,0,77965,0
307,17493,0,83180,0,0,46507,0,79956,1
308,19152,0,58230,0,0,46758,0,102996,1
309,12441,0,91312,0,0,39949,0,83434,0
310,13407,0,72008,0,0,51132,0,90589,1
311,42221,0,47955,0,7768,42643,0,86549,1
312,13802,0,81001,0,0,48481,0,83852,1
313,20147,0,67534,0,0,35258,0,104197,1
314,13796,0,66543,0,0,55598,0,91199,1
315,10871,0,46517,0,0,55330,0,114418,1
316,18395,0,74706,0,0,44397,0,89638,0
317,5448,0,42084,0,0,62385,0,117219,1
318,19534,0,53005,0,0,53796,0,100801,1
319,15753,0,77003,0,0,45932,0,88448,0
320,15580,0,72685,0,0,41840,0,97031,1
321,14297,0,49691,0,0,73339,0,89809,1
322,26076,0,59887,0,0,43417,0,97756,1
323,52736,0,29975,0,6955,80558,0,56912,1
324,24053,0,70610,0,0,42095,0,90378,0
325,8352,0,68662,0,0,61489,0,88633,1
326,14366,0,44218,0,71,54957,0,113524,1
327,26328,0,81608,0,0,29020,0,90180,0
328,11008,0,76097,0,0,48616,0,91415,1
329,11750,0,78881,0,0,51440,0,85065,1
330,21292,0,83077,0,0,45244,0,77523,0
331,41975,0,57587,0,0,38535,0,89039,0
332,12357,0,68350,0,0,50346,0,96083,1
333,15016,0,74605,0,0,46172,0,91343,0
334,23459,0,71076,0,0,44677,0,87924,0
335,22348,0,61948,0,0,43384,0,99456,1
336,32989,0,65402,0,0,41480,0,87265,0
337,19514,0,62749,0,0,50453,0,94420,1
