,gray,violet,blue,green,yellow,orange,red,brown
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04
180,6.91,0.0,34.24,0.0,0.0,21.09,0.0,37.76
181,13.65,0.0,32.81,0.0,0.0,12.37,0.0,41.17
182,14.57,0.0,26.13,0.0,0.0,14.62,0.0,44.69
183,7.99,0.0,34.22,0.0,0.0,22.54,0.0,35.25
184,7.03,0.0,28.94,0.0,0.0,19.61,0.0,44.41
185,7.77,0.0,23.22,0.0,0.0,27.71,0.0,41.3
186,2.71,0.0,31.53,0.0,0.0,21.6,0.0,44.15
187,8.55,0.0,29.83,0.0,0.0,20.0,0.0,41.62
188,8.4,0.0,22.08,0.0,0.0,26.2,0.0,43.33
189,8.22,0.0,27.55,0.0,0.0,26.56,0.0,37.67
190,3.63,0.0,38.14,0.0,0.0,20.2,0.0,38.03
191,4.41,0.0,23.64,0.0,0.0,25.7,0.0,46.24
192,2.55,0.0,28.09,0.0,0.0,28.95,0.0,40.41
193,3.42,0.0,17.71,0.0,0.0,33.21,0.0,45.66
194,10.18,0.0,34.95,0.0,0.0,16.61,0.0,38.26
195,7.33,0.0,29.97,0.0,0.0,18.52,0.0,44.18
196,8.78,0.0,41.72,0.0,0.0,15.03,0.0,34.47
197,5.48,0.0,24.84,0.0,0.0,30.05,0.0,39.64
198,8.27,0.0,30.35,0.0,0.0,24.13,0.0,37.25
199,6.69,0.0,28.71,0.0,0.0,22.08,0.0,42.52
200,22.16,0.0,28.45,0.0,0.0,14.68,0.0,34.71
201,6.16,0.0,31.15,0.0,0.0,20.24,0.0,42.45
202,5.55,0.0,32.77,0.0,0.0,29.86,0.0,31.81
203,4.03,0.0,40.53,0.0,0.0,19.37,0.0,36.08
204,21.53,0.0,21.88,0.0,0.86,26.36,0.0,29.37
205,1.02,0.0,29.44,0.0,0.0,34.64,0.0,34.9
206,7.35,0.0,19.89,0.0,0.0,21.88,0.0,50.88
207,9.26,0.0,28.07,0.0,0.12,22.8,0.0,39.75
208,13.47,0.0,29.09,0.0,1.11,15.67,0.0,40.66
209,2.39,0.0,30.06,0.0,0.0,23.12,0.0,44.43
210,8.41,0.0,38.97,0.0,0.0,13.37,0.0,39.26
211,12.64,0.0,29.59,0.0,0.0,18.64,0.0,39.13
212,4.78,0.0,33.93,0.0,0.0,16.36,0.0,44.93
213,10.46,0.0,26.84,0.0,0.0,19.71,0.0,42.99
214,3.06,0.0,32.21,0.0,0.0,25.37,0.0,39.37
215,8.53,0.0,22.8,0.0,0.0,22.26,0.0,46.41
216,6.83,0.0,26.88,0.0,0.0,17.84,0.0,48.45
217,6.06,0.0,25.29,0.0,0.0,22.63,0.0,46.01
218,6.97,0.0,33.23,0.0,0.0,20.27,0.0,39.54
219,31.26,0.0,19.11,0.0,0.01,21.41,0.0,28.21
220,19.84,0.0,20.63,0.0,2.48,21.74,0.0,35.31
221,12.5,0.0,27.16,0.0,0.0,19.55,0.0,40.79
222,10.24,0.0,32.18,0.0,0.0,18.46,0.0,39.11
223,11.94,0.0,31.5,0.0,0.0,15.84,0.0,40.73
224,11.13,0.0,29.41,0.0,0.0,16.51,0.0,42.95
225,6.68,0.0,36.8,0.0,0.0,20.63,0.0,35.89
226,19.66,0.0,28.48,0.0,0.0,14.73,0.0,37.13
227,9.18,0.0,26.55,0.0,0.0,21.39,0.0,42.89
228,8.28,0.0,29.51,0.0,0.0,25.52,0.0,36.69
229,13.07,0.0,28.32,0.0,0.0,13.8,0.0,44.8
230,4.59,0.0,36.82,0.0,0.0,13.76,0.0,44.82
231,6.69,0.0,27.1,0.0,0.0,23.57,0.0,42.64
232,9.04,0.0,23.89,0.0,0.0,16.05,0.0,51.03
233,11.29,0.0,29.56,0.0,0.0,20.56,0.0,38.6
234,6.28,0.0,30.55,0.0,0.0,21.85,0.0,41.32
235,12.92,0.0,21.92,0.0,0.0,30.19,0.0,34.96
236,7.69,0.0,32.78,0.0,0.0,24.41,0.0,35.12
237,3.37,0.0,28.74,0.0,0.0,16.5,0.0,51.39
238,8.95,0.0,26.36,0.0,0.0,24.24,0.0,40.45
239,7.88,0.0,28.65,0.0,0.0,15.92,0.0,47.55
240,4.65,0.0,30.73,0.0,0.0,28.12,0.0,36.5
241,5.73,0.0,25.39,0.0,0.0,22.71,0.0,46.18
242,8.23,0.0,32.3,0.0,0.0,19.43,0.0,40.04
243,4.33,0.0,33.33,0.0,0.0,18.74,0.0,43.61
244,6.44,0.0,33.96,0.0,0.0,21.02,0.0,38.58
245,10.03,0.0,32.95,0.0,0.0,14.8,0.0,42.22
246,9.41,0.0,32.99,0.0,0.0,16.45,0.0,41.15
247,8.07,0.0,28.87,0.0,0.0,16.66,0.0,46.4
248,10.42,0.0,24.48,0.0,0.0,23.6,0.0,41.51
249,9.48,0.0,33.7,0.0,0.0,16.35,0.0,40.47
250,11.05,0.0,28.44,0.0,0.0,20.67,0.0,39.85
251,4.71,0.0,28.17,0.0,0.0,17.66,0.0,49.46
252,6.41,0.0,26.15,0.0,0.0,28.64,0.0,38.8
253,7.66,0.0,22.72,0.0,0.0,25.97,0.0,43.64
254,7.23,0.0,33.37,0.0,0.0,21.34,0.0,38.06
255,4.93,0.0,28.41,0.0,0.0,23.68,0.0,42.98
256,3.19,0.0,21.13,0.0,0.0,27.15,0.0,48.53
257,3.67,0.0,32.66,0.0,0.0,21.35,0.0,42.32
258,6.91,0.0,34.03,0.0,0.0,21.56,0.0,37.49
259,11.49,0.0,31.93,0.0,0.0,13.3,0.0,43.28
260,2.04,0.0,31.01,0.0,0.0,28.73,0.0,38.21
261,4.32,0.0,26.96,0.0,0.0,25.52,0.0,43.2
262,13.02,0.0,27.41,0.0,0.0,20.47,0.0,39.1
263,8.39,0.0,26.42,0.0,0.0,19.55,0.0,45.63
264,4.57,0.0,24.04,0.0,0.0,24.28,0.0,47.11
265,13.35,0.0,33.23,0.0,0.0,17.88,0.0,35.53
266,9.3,0.0,28.56,0.0,0.0,19.27,0.0,42.88
267,3.25,0.0,23.37,0.0,0.0,27.58,0.0,45.79
268,3.58,0.0,48.29,0.0,0.0,15.12,0.0,33.0
269,5.27,0.0,27.37,0.0,0.0,23.8,0.0,43.56
270,4.32,0.0,36.69,0.0,0.0,22.61,0.0,36.38
271,5.0,0.0,31.15,0.0,0.0,21.79,0.0,42.06
272,3.75,0.0,21.8,0.0,0.0,29.44,0.0,45.01
273,4.01,0.0,29.83,0.0,0.0,21.9,0.0,44.25
274,7.78,0.0,26.96,0.0,0.0,26.5,0.0,38.76
275,5.5,0.0,32.99,0.0,0.0,15.52,0.0,45.99
276,6.38,0.0,22.17,0.0,0.0,29.56,0.0,41.89
277,13.66,0.0,29.95,0.0,0.0,20.38,0.0,36.0
278,6.06,0.0,28.82,0.0,0.0,26.2,0.0,38.92
279,6.48,0.0,36.3,0.0,0.0,24.17,0.0,33.05
280,4.82,0.0,25.02,0.0,0.0,22.82,0.0,47.34
281,13.61,0.0,25.53,0.0,0.17,20.86,0.0,39.84
282,8.38,0.0,30.52,0.0,0.0,19.15,0.0,41.95
283,6.37,0.0,37.24,0.0,0.0,17.57,0.0,38.82
284,7.95,0.0,33.26,0.0,0.0,14.63,0.0,44.16
285,7.54,0.0,35.83,0.0,0.0,19.69,0.0,36.94
286,7.73,0.0,22.44,0.0,0.0,22.86,0.0,46.96
287,11.13,0.0,30.53,0.0,0.0,19.33,0.0,39.01
288,1.67,0.0,37.48,0.0,0.0,23.39,0.0,37.46
289,8.04,0.0,25.23,0.0,0.13,24.79,0.0,41.81
290,15.2,0.0,32.21,0.0,0.0,14.76,0.0,37.83
291,20.7,0.0,24.82,0.0,0.93,20.63,0.0,32.92
292,5.14,0.0,33.98,0.0,0.21,25.16,0.0,35.52
293,6.5,0.0,35.07,0.0,0.0,19.23,0.0,39.21
294,14.0,0.0,29.26,0.0,0.0,15.65,0.0,41.09
295,11.62,0.0,32.05,0.0,0.0,17.24,0.0,39.08
296,6.77,0.0,30.53,0.0,0.0,24.4,0.0,38.3
